Area,All Ages,Aged 0 to 17,Aged 18 to 24,Aged 25 to 49,Aged 50 to 64,Aged 65+
Croydon,"409,342","93,945","30,626","153,782","74,255","56,734"
Ealing,"385,985","82,360","37,311","150,993","66,676","48,645"
Enfield,"327,434","80,331","26,981","110,637","61,448","48,037"
Greenwich,"299,528","65,325","26,321","126,505","49,143","32,234"
Harrow,"270,724","60,452","21,549","100,787","45,349","42,587"
Havering,"276,274","63,777","19,887","96,270","48,631","47,709"
Hillingdon,"329,185","75,524","31,360","124,246","54,857","43,198"
Hounslow,"299,424","67,554","25,220","118,200","51,826","36,624"
Kingston upon Thames,"172,692","37,121","15,817","62,587","31,241","25,926"
Merton,"218,539","47,199","15,421","88,127","38,902","28,890"
Redbridge,"321,231","78,171","29,129","122,062","51,505","40,364"
Richmond upon Thames,"196,678","44,038","12,000","65,807","41,447","33,386"
Sutton,"214,525","50,854","13,674","76,970","40,137","32,890"
Waltham Forest,"279,737","62,664","21,577","119,298","46,131","30,067"
Bracknell Forest,"130,806","29,372","8,546","46,933","25,073","20,882"
Brighton and Hove,"283,870","46,612","40,371","100,702","55,662","40,523"
Isle of Wight,"141,660","23,351","7,825","36,093","31,648","42,743"
Medway,"292,655","68,774","21,687","100,668","53,457","48,069"
Milton Keynes,"305,884","74,569","20,695","113,972","53,143","43,505"
Portsmouth,"214,321","43,056","26,735","76,080","36,490","31,960"
Reading,"182,907","38,963","21,157","72,363","28,197","22,227"
Slough,"167,359","46,686","13,987","65,023","25,315","16,348"
Southampton,"259,424","50,941","39,642","93,615","39,671","35,555"
West Berkshire,"165,112","35,495","10,157","50,905","34,994","33,561"
Windsor and Maidenhead,"158,943","34,740","10,095","51,611","32,528","29,969"
Wokingham,"187,200","44,412","12,014","62,230","36,025","32,519"
Buckinghamshire,"578,772","130,466","36,261","186,198","115,312","110,535"
Eastbourne,"104,259","19,716","7,352","30,613","20,653","25,925"
Hastings,"91,219","18,037","5,851","28,469","19,643","19,219"
Lewes,"102,363","18,933","6,145","27,576","22,048","27,661"
Rother,"96,133","16,271","5,177","22,275","21,144","31,266"
Wealden,"166,908","31,471","9,379","43,614","37,100","45,344"
Basingstoke and Deane,"193,110","40,949","11,897","67,343","38,291","34,630"
East Hampshire,"129,975","25,615","7,385","36,784","28,498","31,693"
Eastleigh,"142,933","30,405","8,947","47,334","27,642","28,605"
Fareham,"115,428","21,045","7,300","32,405","24,813","29,865"
Gosport,"82,921","16,470","5,935","24,666","17,253","18,597"
Hart,"103,162","21,725","6,695","32,076","21,405","21,261"
Havant,"126,985","24,639","8,059","35,985","26,538","31,764"
New Forest,"176,116","29,968","9,760","43,275","39,087","54,026"
Rushmoor,"105,751","22,347","7,829","40,375","19,076","16,124"
Test Valley,"135,201","27,556","7,791","42,222","27,937","29,695"
Winchester,"135,632","28,011","12,868","39,574","26,667","28,512"
Ashford,"140,936","30,900","8,827","45,210","28,198","27,801"
Canterbury,"162,100","30,404","20,416","44,939","30,147","36,194"
