district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E07000043,North Devon,LAD,England,1085.9838908421173,51.069108110709706,-3.910921065454167
E07000044,South Hams,LAD,England,886.5633843802354,50.375105204968804,-3.823276145741933
E07000045,Teignbridge,LAD,England,673.8789204022366,50.606601950479224,-3.658129296749804
E07000046,Torridge,LAD,England,985.3326028254843,50.886014573935064,-4.250006624716765
E07000047,West Devon,LAD,England,1161.0439481061837,50.656897942252485,-4.045623609001119
E07000048,Christchurch,LAD,England,50.41144045200364,50.76246303975363,-1.7891551862304234
E07000049,East Dorset,LAD,England,354.4278069857091,50.86372458067249,-1.9615235185595763
E07000050,North Dorset,LAD,England,609.2664487716276,50.912557456059275,-2.2463652822042732
E07000051,Purbeck,LAD,England,404.3921331880644,50.681163036690656,-2.1379802073983667
E07000052,West Dorset,LAD,England,1081.583335547441,50.78526433180935,-2.5784066920142923
E07000053,Weymouth and Portland,LAD,England,41.82403468366503,50.61026745087325,-2.4550817017001414
E07000061,Eastbourne,LAD,England,44.15418781527798,50.77676548693464,0.26601974980709475
E07000062,Hastings,LAD,England,29.72581545891491,50.869922474449794,0.5704610204506692
E07000063,Lewes,LAD,England,292.0711984442233,50.88281210329527,0.004615923740602106
E07000064,Rother,LAD,England,511.7624900789194,50.95221317430317,0.5373223453368272
E07000065,Wealden,LAD,England,834.9676527744383,50.96780224753435,0.19843905835785203
E07000066,Basildon,LAD,England,110.01650920621942,51.59029997180553,0.46612208622384194
E07000067,Braintree,LAD,England,611.6950141396968,51.94193933862549,0.5898759517012738
E07000068,Brentwood,LAD,England,153.14071444750672,51.6386406663744,0.3107604403435133
E07000069,Castle Point,LAD,England,45.03502037279081,51.545471185545395,0.5813428825058953
E07000070,Chelmsford,LAD,England,342.2540235703466,51.72567582335598,0.48054683414890853
E07000071,Colchester,LAD,England,333.1374471557872,51.87571847375454,0.8571935057393864
E07000072,Epping Forest,LAD,England,338.9678727489068,51.70888441856397,0.14874816358284135
E07000073,Harlow,LAD,England,30.5302027639726,51.76834518298533,0.10851727841803943
E07000074,Maldon,LAD,England,358.752324305606,51.71034542628437,0.7689467989716594
E07000075,Rochford,LAD,England,169.37689819369808,51.59518611667002,0.7448913924114764
E07000076,Tendring,LAD,England,337.7142428655533,51.87034966659562,1.1103807764896871
E07000077,Uttlesford,LAD,England,641.1300411039792,51.934694087160516,0.2797139747305322
E07000078,Cheltenham,LAD,England,46.57245702826787,51.89701083381082,-2.0740072782015955
E07000079,Cotswold,LAD,England,1164.5477478955838,51.8166810744622,-1.8924139471840518
E07000080,Forest of Dean,LAD,England,526.3052934115706,51.836790336452886,-2.487473060664035
E07000081,Gloucester,LAD,England,40.55391854561397,51.849331775120156,-2.240005646816275
E07000082,Stroud,LAD,England,460.7061409148754,51.728524536356495,-2.295207615775408
E07000083,Tewkesbury,LAD,England,414.4047598150424,51.945734958397054,-2.087041398807791
E07000084,Basingstoke and Deane,LAD,England,633.7960261905398,51.27345677719807,-1.2009847034940293
E07000085,East Hampshire,LAD,England,514.4322591274257,51.07465877630082,-0.95507222029468
E07000086,Eastleigh,LAD,England,79.78745175178992,50.937747275096,-1.3264591503095342
